YYYY,MM,시군구,번지,단지명,area_x,price,floor,birth_year,도로명,age_c,join_key,지역,구,법정동,아파트이름,code,area_y,room,toilet,세대수,건물수,y_c,park,per_park,heat,용적률,건폐율,f_high,f_low,LotAdr,RoadAdr,lati,long
2015.0,4.0,서울특별시 중랑구 묵동,13,신내,39.84,17750.0,3.0,1996.0,숙선옹주로,19.0,서울시 중랑구 묵동 13 39.84,서울특별시,중랑구,묵동,신내4단지,10528.0,39.84,2.0,1.0,1070.0,12.0,1996.0,560.0,0.52,지역난방,190.0,21.0,12.0,10.0,서울시 중랑구 묵동 13,서울시 중랑구 숙선옹주로 91,37.616724,127.084896
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2016.0,2.0,서울특별시 송파구 풍납동,391,극동,58.11,39500.0,6.0,1987.0,올림픽로45길,29.0,서울시 송파구 풍납동 391 58.11,서울특별시,송파구,풍납동,극동,648.0,58.11,2.0,1.0,415.0,4.0,1987.0,415.0,1.0,지역난방,248.0,,15.0,6.0,서울시 송파구 풍납동 391,서울시 송파구 올림픽로45길 11,37.526796000000004,127.11636200000001
2017.0,3.0,서울특별시 서초구 잠원동,61-2,신반포19,107.93,129000.0,6.0,1982.0,잠원로8길,35.0,서울시 서초구 잠원동 61-2 107.93,서울특별시,서초구,잠원동,신반포19차,524.0,107.93,3.0,1.0,242.0,2.0,1982.0,,,지역난방,,,11.0,11.0,서울시 서초구 잠원동 61-2,서울시 서초구 잠원로8길 20,37.514322,127.010224
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2012.0,2.0,서울특별시 동대문구 휘경동,106,휘경미소지움,84.87,33000.0,13.0,1999.0,망우로,13.0,서울시 동대문구 휘경동 106 84.87,서울특별시,동대문구,휘경동,휘경미소지움,356.0,84.87,3.0,2.0,345.0,5.0,1999.0,401.0,1.16,개별난방,283.0,20.0,25.0,6.0,서울시 동대문구 휘경동 106,서울시 동대문구 망우로 105,37.59156,127.06468999999998
2019.0,11.0,서울특별시 중랑구 신내동,650,신내6대주,59.76,43600.0,3.0,1996.0,신내로19길 42,23.0,서울시 중랑구 신내동 650 59.76,서울특별시,중랑구,신내동,신내6단지시영,820.0,59.76,2.0,1.0,1609.0,16.0,1996.0,937.0,0.58,지역난방,187.0,20.0,12.0,9.0,서울시 중랑구 신내동 650,서울시 중랑구 신내로19길 42,37.615567,127.09144599999999
2015.0,6.0,서울특별시 강서구 화곡동,1145,우장산롯데캐슬,85.0,50500.0,6.0,2003.0,공항대로,12.0,서울시 강서구 화곡동 1145 85.0,서울특별시,강서구,화곡동,우장산롯데캐슬,3331.0,85.0,3.0,2.0,1164.0,21.0,2003.0,1979.0,1.7,개별난방,256.0,18.0,25.0,12.0,서울시 강서구 화곡동 1145,서울시 강서구 공항대로 382,37.555616,126.84815
2014.0,2.0,서울특별시 송파구 송파동,162,송파삼성래미안아파트,79.7,63000.0,17.0,2001.0,오금로32길,13.0,서울시 송파구 송파동 162 79.7,서울특별시,송파구,송파동,송파삼성래미안,3431.0,79.7,3.0,2.0,845.0,13.0,2001.0,1382.0,1.63,지역난방,290.0,21.0,23.0,11.0,서울시 송파구 송파동 162,서울시 송파구 오금로32길 14,37.504744,127.11829499999999
